state,district,market,commodity,arrivals,date
Assam,Kamrup,Pamohi(Garchuk) APMC,onion,155.0,2026-01-03
Bihar,Banka,Barahat APMC,onion,4.0,2026-01-03
Bihar,Samastipur,Tajpur APMC,onion,2.0,2026-01-03
Bihar,Sheohar,Sheohar APMC,onion,3.0,2026-01-03
Goa,North Goa,Mapusa APMC,onion,9.88,2026-01-03
Gujarat,Bharuch,Bharuch APMC,onion,29.5,2026-01-03
Gujarat,Dahod,Dahod(Veg. Market) APMC,onion,2.0,2026-01-03
Gujarat,Kheda,Nadiyad(Piplag) APMC,onion,7.0,2026-01-03
Gujarat,Navsari,Navsari APMC,onion,29.94,2026-01-03
Gujarat,Surat,Surat APMC,onion,415.0,2026-01-03
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura) APMC,onion,21.37,2026-01-03
Haryana,Bhiwani,Ch. Dadri APMC,onion,6.3,2026-01-03
Haryana,Faridabad,"New Grain Market , Faridabad APMC",onion,21.5,2026-01-03
Haryana,Fatehabad,Tohana(New Veg Market) APMC,onion,7.0,2026-01-03
Haryana,Gurgaon,Gurgaon APMC,onion,121.0,2026-01-03
Haryana,Gurgaon,Pataudi APMC,onion,2.1,2026-01-03
Haryana,Gurgaon,Sohna APMC,onion,5.1,2026-01-03
Haryana,Hissar,Barwala(Hisar) APMC,onion,11.5,2026-01-03
Haryana,Hissar,Hansi APMC,onion,14.2,2026-01-03
Haryana,Hissar,Hissar APMC,onion,20.0,2026-01-03
Haryana,Hissar,Uklana APMC,onion,0.2,2026-01-03
Haryana,Jhajar,Jhajjar APMC,onion,8.0,2026-01-03
Haryana,Jind,Narwana APMC,onion,10.0,2026-01-03
Haryana,Kaithal,Cheeka APMC,onion,0.5,2026-01-03
Haryana,Kaithal,Kaithal APMC,onion,10.7,2026-01-03
Haryana,Kaithal,Pundri APMC,onion,0.4,2026-01-03
Haryana,Kaithal,Siwan APMC,onion,2.0,2026-01-03
Haryana,Karnal,"New Grain Market(main), Karnal APMC",onion,55.0,2026-01-03
Haryana,Kurukshetra,Ladwa APMC,onion,1.0,2026-01-03
Haryana,Mahendragarh-Narnaul,Mohindergarh APMC,onion,3.45,2026-01-03
Haryana,Mahendragarh-Narnaul,Narnaul APMC,onion,1.8,2026-01-03
Haryana,Mewat,Nuh APMC,onion,2.5,2026-01-03
Haryana,Panchkula,Barwala APMC,onion,3.5,2026-01-03
Haryana,Panipat,Madlauda APMC,onion,0.3,2026-01-03
Haryana,Panipat,Panipat APMC,onion,65.8,2026-01-03
Haryana,Panipat,Samalkha APMC,onion,4.5,2026-01-03
Haryana,Rewari,Kosli APMC,onion,0.2,2026-01-03
Haryana,Rewari,Rewari APMC,onion,5.9,2026-01-03
Haryana,Sirsa,Rania APMC,onion,0.2,2026-01-03
Haryana,Sirsa,Rania(Jiwan nagar) APMC,onion,0.2,2026-01-03
Haryana,Sirsa,Sirsa APMC,onion,10.6,2026-01-03
Haryana,Sonipat,Ganaur APMC,onion,2.9,2026-01-03
Haryana,Sonipat,Gohana APMC,onion,8.7,2026-01-03
Haryana,Sonipat,Sonepat APMC,onion,15.4,2026-01-03
Haryana,Sonipat,Sonepat(Kharkhoda) APMC,onion,4.0,2026-01-03
Haryana,Yamuna Nagar,Chhachrauli APMC,onion,0.25,2026-01-03
Haryana,Yamuna Nagar,Mustafabad APMC,onion,0.29,2026-01-03
Haryana,Yamuna Nagar,Sadhaura APMC,onion,2.4,2026-01-03
Himachal Pradesh,Kullu,PMY Kullu,onion,1.6,2026-01-03
Himachal Pradesh,Kullu,SMY Bhuntar,onion,1.8,2026-01-03
Himachal Pradesh,Mandi,SMY Takoli,onion,0.15,2026-01-03
Karnataka,Kolar,Chickkaballapura APMC,onion,3.0,2026-01-03
Karnataka,Kolar,Gowribidanoor APMC,onion,0.3,2026-01-03
Karnataka,Shimoga,Shimoga APMC,onion,7.5,2026-01-03
Kerala,Alappuzha,Kayamkulam APMC,onion,9.0,2026-01-03
Kerala,Ernakulam,Piravam APMC,onion,5.0,2026-01-03
Kerala,Idukki,Kattappana APMC,onion,9.9,2026-01-03
Kerala,Idukki,Vandiperiyar APMC,onion,0.05,2026-01-03
Kerala,Kannur,Kannur APMC,onion,22.0,2026-01-03
Kerala,Kannur,Thalasserry APMC,onion,0.3,2026-01-03
Kerala,Kollam,Anchal APMC,onion,0.09,2026-01-03
Kerala,Kollam,Chathanoor APMC,onion,0.4,2026-01-03
Kerala,Kottayam,Kanjirappally APMC,onion,0.5,2026-01-03
Kerala,Malappuram,Manjeri APMC,onion,8.0,2026-01-03
Kerala,Malappuram,Thirurrangadi APMC,onion,2.0,2026-01-03
Kerala,Palakad,Koduvayoor APMC,onion,160.0,2026-01-03
Kerala,Palakad,vadakarapathy APMC,onion,1.0,2026-01-03
Kerala,Thirssur,Chelakkara APMC,onion,0.15,2026-01-03
Kerala,Thirssur,Wadakkanchery APMC,onion,0.6,2026-01-03
Kerala,Thiruvananthapuram,Pothencode APMC,onion,650.0,2026-01-03
Kerala,Thiruvananthapuram,Vamanapuram APMC,onion,0.16,2026-01-03
Madhya Pradesh,Anupur,Anuppur(F&V) APMC,onion,3.0,2026-01-03
Madhya Pradesh,Badwani,Badwani(F&V) APMC,onion,1.18,2026-01-03
Madhya Pradesh,Badwani,Sendhwa(F&V) APMC,onion,0.5,2026-01-03
Madhya Pradesh,Chhindwara,Chindwara(F&V) APMC,onion,1.6,2026-01-03
Madhya Pradesh,Dewas,Dewas(F&V) APMC,onion,3.0,2026-01-03
Madhya Pradesh,Dhar,Badnawar(F&V) APMC,onion,0.1,2026-01-03
Madhya Pradesh,Hoshangabad,Pipariya(F&V) APMC,onion,4.0,2026-01-03
Madhya Pradesh,Jhabua,Petlawad(F&V) APMC,onion,0.89,2026-01-03
Madhya Pradesh,Morena,Sabalgarh(F&V) APMC,onion,0.0,2026-01-03
Madhya Pradesh,Rajgarh,Sarangpur APMC,onion,25.2,2026-01-03
Madhya Pradesh,Sagar,Deori APMC,onion,37.4,2026-01-03
Madhya Pradesh,Sagar,Rehli(F&V) APMC,onion,1.0,2026-01-03
Madhya Pradesh,Sagar,Sagar(F&V) APMC,onion,21.9,2026-01-03
Madhya Pradesh,Satna,Maihar(F&V) APMC,onion,1.0,2026-01-03
Madhya Pradesh,Shivpuri,Karera(F&V) APMC,onion,0.7,2026-01-03
Maharashtra,Ahmednagar,Akole APMC,onion,348.4,2026-01-03
Maharashtra,Ahmednagar,Rahata APMC,onion,105.9,2026-01-03
Maharashtra,Ahmednagar,Rahuri APMC,onion,342.1,2026-01-03
Maharashtra,Amarawati,Amrawati(Frui & Veg. Market) APMC,onion,40.7,2026-01-03
Maharashtra,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar APMC,onion,614.0,2026-01-03
Maharashtra,Dharashiv(Usmanabad),Paranda APMC,onion,624.9,2026-01-03
Maharashtra,Jalgaon,Bhusaval APMC,onion,9.0,2026-01-03
Maharashtra,Nagpur,Kamthi APMC,onion,4.0,2026-01-03
Maharashtra,Pune,Junnar(Alephata) APMC,onion,543.1,2026-01-03
Maharashtra,Pune,Junnar(Narayangaon) APMC,onion,9.2,2026-01-03
Maharashtra,Pune,Khed(Chakan) APMC,onion,25.0,2026-01-03
Maharashtra,Pune,Pune(Khadiki) APMC,onion,1.3,2026-01-03
Maharashtra,Pune,Pune(Manjri) APMC,onion,8.6,2026-01-03
Maharashtra,Pune,Pune(Moshi) APMC,onion,63.0,2026-01-03
Maharashtra,Pune,Pune(Pimpri) APMC,onion,1.1,2026-01-03
Maharashtra,Satara,Karad APMC,onion,19.8,2026-01-03
Maharashtra,Satara,Satara APMC,onion,50.0,2026-01-03
Maharashtra,Satara,Vaduj APMC,onion,6.0,2026-01-03
Maharashtra,Sholapur,Akluj APMC,onion,58.8,2026-01-03
Maharashtra,Sholapur,Mangal Wedha APMC,onion,0.3,2026-01-03
Maharashtra,Thane,Kalyan APMC,onion,0.6,2026-01-03
NCT of Delhi,Delhi,"Fruit&Vegetable Market,Gazipur APMC",onion,648.7,2026-01-03
Odisha,Balasore,Jaleswar APMC,onion,30.0,2026-01-03
Odisha,Bargarh,Bargarh APMC,onion,218.0,2026-01-03
Odisha,Bargarh,Bargarh(Barapalli) APMC,onion,111.0,2026-01-03
Odisha,Boudh,Boudh APMC,onion,0.2,2026-01-03
Odisha,Dhenkanal,Hindol APMC,onion,1.8,2026-01-03
Odisha,Dhenkanal,Kamakhyanagar APMC,onion,2.0,2026-01-03
Odisha,Mayurbhanja,Udala APMC,onion,3.0,2026-01-03
Punjab,Bhatinda,Bhagta Bhai Ka APMC,onion,0.7,2026-01-03
Punjab,Bhatinda,Rampuraphul(Nabha Mandi) APMC,onion,0.69,2026-01-03
Punjab,Gurdaspur,Dinanagar APMC,onion,1.55,2026-01-03
