State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Assam,Kamrup,Pamohi(Garchuk) APMC,Vegetables,Onion,155,Metric Tonnes,01-03-2026
Bihar,Banka,Barahat APMC,Vegetables,Onion,4,Metric Tonnes,01-03-2026
Bihar,Samastipur,Tajpur APMC,Vegetables,Onion,2,Metric Tonnes,01-03-2026
Bihar,Sheohar,Sheohar APMC,Vegetables,Onion,3,Metric Tonnes,01-03-2026
Goa,North Goa,Mapusa APMC,Vegetables,Onion,9.88,Metric Tonnes,01-03-2026
Gujarat,Bharuch,Bharuch APMC,Vegetables,Onion,29.5,Metric Tonnes,01-03-2026
Gujarat,Dahod,Dahod(Veg. Market) APMC,Vegetables,Onion,2,Metric Tonnes,01-03-2026
Gujarat,Kheda,Nadiyad(Piplag) APMC,Vegetables,Onion,7,Metric Tonnes,01-03-2026
Gujarat,Navsari,Navsari APMC,Vegetables,Onion,29.94,Metric Tonnes,01-03-2026
Gujarat,Surat,Surat APMC,Vegetables,Onion,415,Metric Tonnes,01-03-2026
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura) APMC,Vegetables,Onion,21.37,Metric Tonnes,01-03-2026
Haryana,Bhiwani,Ch. Dadri APMC,Vegetables,Onion,6.3,Metric Tonnes,01-03-2026
Haryana,Faridabad,"New Grain Market , Faridabad APMC",Vegetables,Onion,21.5,Metric Tonnes,01-03-2026
Haryana,Fatehabad,Tohana(New Veg Market) APMC,Vegetables,Onion,7,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Gurgaon APMC,Vegetables,Onion,121,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Pataudi APMC,Vegetables,Onion,2.1,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Sohna APMC,Vegetables,Onion,5.1,Metric Tonnes,01-03-2026
Haryana,Hissar,Barwala(Hisar) APMC,Vegetables,Onion,11.5,Metric Tonnes,01-03-2026
Haryana,Hissar,Hansi APMC,Vegetables,Onion,14.2,Metric Tonnes,01-03-2026
Haryana,Hissar,Hissar APMC,Vegetables,Onion,20,Metric Tonnes,01-03-2026
Haryana,Hissar,Uklana APMC,Vegetables,Onion,0.2,Metric Tonnes,01-03-2026
Haryana,Jhajar,Jhajjar APMC,Vegetables,Onion,8,Metric Tonnes,01-03-2026
Haryana,Jind,Narwana APMC,Vegetables,Onion,10,Metric Tonnes,01-03-2026
Haryana,Kaithal,Cheeka APMC,Vegetables,Onion,0.5,Metric Tonnes,01-03-2026
