State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Assam,Darrang,Kharupetia APMC,Vegetables,Potato,1,Metric Tonnes,01-03-2026
Assam,Kamrup,Pamohi(Garchuk) APMC,Vegetables,Potato,125,Metric Tonnes,01-03-2026
Bihar,Bhojpur,Aarah APMC,Vegetables,Potato,1.33,Metric Tonnes,01-03-2026
Bihar,East Champaran/ Motihari,Chakia APMC,Vegetables,Potato,60,Metric Tonnes,01-03-2026
Bihar,Rohtas,Natwar APMC,Vegetables,Potato,4,Metric Tonnes,01-03-2026
Bihar,Sheohar,Sheohar APMC,Vegetables,Potato,6,Metric Tonnes,01-03-2026
Goa,North Goa,Mapusa APMC,Vegetables,Potato,9.76,Metric Tonnes,01-03-2026
Gujarat,Bharuch,Bharuch APMC,Vegetables,Potato,32.5,Metric Tonnes,01-03-2026
Gujarat,Dahod,Dahod(Veg. Market) APMC,Vegetables,Potato,44,Metric Tonnes,01-03-2026
Gujarat,Kheda,Nadiad APMC,Vegetables,Potato,1.72,Metric Tonnes,01-03-2026
Gujarat,Kheda,Nadiyad(Chaklasi) APMC,Vegetables,Potato,1.1,Metric Tonnes,01-03-2026
Gujarat,Kheda,Nadiyad(Piplag) APMC,Vegetables,Potato,11.5,Metric Tonnes,01-03-2026
Gujarat,Navsari,Bilimora APMC,Vegetables,Potato,6.8,Metric Tonnes,01-03-2026
Gujarat,Navsari,Navsari APMC,Vegetables,Potato,38.1,Metric Tonnes,01-03-2026
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Vegetables,Potato,123.35,Metric Tonnes,01-03-2026
Gujarat,Surat,Surat APMC,Vegetables,Potato,"1,095.00",Metric Tonnes,01-03-2026
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura) APMC,Vegetables,Potato,38.98,Metric Tonnes,01-03-2026
Haryana,Ambala,Ambala Cantt. APMC,Vegetables,Potato,87.8,Metric Tonnes,01-03-2026
Haryana,Ambala,Naraingarh APMC,Vegetables,Potato,292.72,Metric Tonnes,01-03-2026
Haryana,Bhiwani,Ch. Dadri APMC,Vegetables,Potato,13.7,Metric Tonnes,01-03-2026
Haryana,Faridabad,"New Grain Market , Faridabad APMC",Vegetables,Potato,47.5,Metric Tonnes,01-03-2026
Haryana,Fatehabad,Jakhal APMC,Vegetables,Potato,0.4,Metric Tonnes,01-03-2026
Haryana,Fatehabad,Tohana(New Veg Market) APMC,Vegetables,Potato,9.5,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Gurgaon APMC,Vegetables,Potato,201,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Sohna APMC,Vegetables,Potato,7.6,Metric Tonnes,01-03-2026
Haryana,Hissar,Barwala(Hisar) APMC,Vegetables,Potato,8.6,Metric Tonnes,01-03-2026
Haryana,Hissar,Hansi APMC,Vegetables,Potato,52.5,Metric Tonnes,01-03-2026
Haryana,Hissar,Hissar APMC,Vegetables,Potato,26.6,Metric Tonnes,01-03-2026
Haryana,Hissar,Uklana APMC,Vegetables,Potato,0.3,Metric Tonnes,01-03-2026
Haryana,Jhajar,Bahadurgarh APMC,Vegetables,Potato,22,Metric Tonnes,01-03-2026
Haryana,Jhajar,Jhajjar APMC,Vegetables,Potato,14,Metric Tonnes,01-03-2026
