State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Andhra Pradesh,Chittor,Kalikiri APMC,Vegetables,Tomato,14.6,Metric Tonnes,01-03-2026
Andhra Pradesh,Chittor,Madanapalli APMC,Vegetables,Tomato,53,Metric Tonnes,01-03-2026
Andhra Pradesh,Chittor,Punganur APMC,Vegetables,Tomato,12.7,Metric Tonnes,01-03-2026
Assam,Darrang,Balugaon APMC,Vegetables,Tomato,4,Metric Tonnes,01-03-2026
Assam,Darrang,Besimari APMC,Vegetables,Tomato,10,Metric Tonnes,01-03-2026
Assam,Darrang,Kharupetia APMC,Vegetables,Tomato,1,Metric Tonnes,01-03-2026
Assam,Kamrup,Pamohi(Garchuk) APMC,Vegetables,Tomato,27,Metric Tonnes,01-03-2026
Gujarat,Bharuch,Bharuch APMC,Vegetables,Tomato,12.2,Metric Tonnes,01-03-2026
Gujarat,Dahod,Dahod(Veg. Market) APMC,Vegetables,Tomato,13.5,Metric Tonnes,01-03-2026
Gujarat,Kheda,Nadiad APMC,Vegetables,Tomato,1.4,Metric Tonnes,01-03-2026
Gujarat,Kheda,Nadiyad(Chaklasi) APMC,Vegetables,Tomato,0.1,Metric Tonnes,01-03-2026
Gujarat,Kheda,Nadiyad(Piplag) APMC,Vegetables,Tomato,10.5,Metric Tonnes,01-03-2026
Gujarat,Navsari,Bilimora APMC,Vegetables,Tomato,5.4,Metric Tonnes,01-03-2026
Gujarat,Navsari,Navsari APMC,Vegetables,Tomato,12.06,Metric Tonnes,01-03-2026
Gujarat,Rajkot,Gondal(Veg.market Gondal) APMC,Vegetables,Tomato,24.04,Metric Tonnes,01-03-2026
Gujarat,Surat,Surat APMC,Vegetables,Tomato,415,Metric Tonnes,01-03-2026
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura) APMC,Vegetables,Tomato,16.87,Metric Tonnes,01-03-2026
Haryana,Bhiwani,Ch. Dadri APMC,Vegetables,Tomato,6,Metric Tonnes,01-03-2026
Haryana,Faridabad,"New Grain Market , Faridabad APMC",Vegetables,Tomato,49.7,Metric Tonnes,01-03-2026
Haryana,Fatehabad,Jakhal APMC,Vegetables,Tomato,0.3,Metric Tonnes,01-03-2026
Haryana,Fatehabad,Tohana(New Veg Market) APMC,Vegetables,Tomato,5,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Gurgaon APMC,Vegetables,Tomato,98,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Pataudi APMC,Vegetables,Tomato,3.4,Metric Tonnes,01-03-2026
Haryana,Gurgaon,Sohna APMC,Vegetables,Tomato,4.1,Metric Tonnes,01-03-2026
Haryana,Hissar,Barwala(Hisar) APMC,Vegetables,Tomato,6.7,Metric Tonnes,01-03-2026
Haryana,Hissar,Hansi APMC,Vegetables,Tomato,26.8,Metric Tonnes,01-03-2026
Haryana,Hissar,Hissar APMC,Vegetables,Tomato,17.7,Metric Tonnes,01-03-2026
Haryana,Hissar,Uklana APMC,Vegetables,Tomato,0.2,Metric Tonnes,01-03-2026
Haryana,Jhajar,Bahadurgarh APMC,Vegetables,Tomato,7.7,Metric Tonnes,01-03-2026
Haryana,Jhajar,Jhajjar APMC,Vegetables,Tomato,5.8,Metric Tonnes,01-03-2026
Haryana,Jind,Narwana APMC,Vegetables,Tomato,0.5,Metric Tonnes,01-03-2026
Haryana,Kaithal,Cheeka APMC,Vegetables,Tomato,0.15,Metric Tonnes,01-03-2026
Haryana,Kaithal,Kaithal APMC,Vegetables,Tomato,53,Metric Tonnes,01-03-2026
Haryana,Kaithal,Pundri APMC,Vegetables,Tomato,0.2,Metric Tonnes,01-03-2026
Haryana,Kaithal,Siwan APMC,Vegetables,Tomato,1.2,Metric Tonnes,01-03-2026
Haryana,Karnal,"New Grain Market(main), Karnal APMC",Vegetables,Tomato,27.7,Metric Tonnes,01-03-2026
Haryana,Karnal,Tarori APMC,Vegetables,Tomato,0.6,Metric Tonnes,01-03-2026
Haryana,Mahendragarh-Narnaul,Mohindergarh APMC,Vegetables,Tomato,7.6,Metric Tonnes,01-03-2026
Haryana,Mahendragarh-Narnaul,Narnaul APMC,Vegetables,Tomato,4.8,Metric Tonnes,01-03-2026
Haryana,Mewat,FerozpurZirkha(Nagina) APMC,Vegetables,Tomato,2.8,Metric Tonnes,01-03-2026
Haryana,Mewat,Nuh APMC,Vegetables,Tomato,2.2,Metric Tonnes,01-03-2026
Haryana,Palwal,Hassanpur APMC,Vegetables,Tomato,0.1,Metric Tonnes,01-03-2026
Haryana,Panchkula,Barwala APMC,Vegetables,Tomato,2.5,Metric Tonnes,01-03-2026
Haryana,Panipat,Madlauda APMC,Vegetables,Tomato,0.45,Metric Tonnes,01-03-2026
Haryana,Panipat,Panipat APMC,Vegetables,Tomato,38.3,Metric Tonnes,01-03-2026
Haryana,Panipat,Samalkha APMC,Vegetables,Tomato,2.8,Metric Tonnes,01-03-2026
Haryana,Rewari,Rewari APMC,Vegetables,Tomato,6.8,Metric Tonnes,01-03-2026
Haryana,Sirsa,Rania APMC,Vegetables,Tomato,0.2,Metric Tonnes,01-03-2026
Haryana,Sirsa,Rania(Jiwan nagar) APMC,Vegetables,Tomato,0.2,Metric Tonnes,01-03-2026
Haryana,Sirsa,Sirsa APMC,Vegetables,Tomato,14.7,Metric Tonnes,01-03-2026
Haryana,Sonipat,Ganaur APMC,Vegetables,Tomato,3.5,Metric Tonnes,01-03-2026
Haryana,Sonipat,Gohana APMC,Vegetables,Tomato,6.4,Metric Tonnes,01-03-2026
Haryana,Sonipat,Sonepat APMC,Vegetables,Tomato,12.9,Metric Tonnes,01-03-2026
Haryana,Sonipat,Sonepat(Kharkhoda) APMC,Vegetables,Tomato,2.2,Metric Tonnes,01-03-2026
Haryana,Yamuna Nagar,Chhachrauli APMC,Vegetables,Tomato,0.28,Metric Tonnes,01-03-2026
Haryana,Yamuna Nagar,Mustafabad APMC,Vegetables,Tomato,0.18,Metric Tonnes,01-03-2026
Haryana,Yamuna Nagar,Sadhaura APMC,Vegetables,Tomato,1.9,Metric Tonnes,01-03-2026
Himachal Pradesh,Kullu,PMY Kullu,Vegetables,Tomato,1.6,Metric Tonnes,01-03-2026
Himachal Pradesh,Kullu,SMY Bhuntar,Vegetables,Tomato,1.5,Metric Tonnes,01-03-2026
Himachal Pradesh,Mandi,SMY Takoli,Vegetables,Tomato,0.1,Metric Tonnes,01-03-2026
Karnataka,Bangalore,Ramanagara APMC,Vegetables,Tomato,14.4,Metric Tonnes,01-03-2026
Karnataka,Bellary,Hospet APMC,Vegetables,Tomato,6,Metric Tonnes,01-03-2026
Karnataka,Hassan,Belur APMC,Vegetables,Tomato,5.6,Metric Tonnes,01-03-2026
Karnataka,Haveri,Ranebennur APMC,Vegetables,Tomato,0.7,Metric Tonnes,01-03-2026
Karnataka,Kolar,Bhagepalli APMC,Vegetables,Tomato,28.2,Metric Tonnes,01-03-2026
Karnataka,Kolar,Chintamani APMC,Vegetables,Tomato,30,Metric Tonnes,01-03-2026
Karnataka,Kolar,Gowribidanoor APMC,Vegetables,Tomato,1.5,Metric Tonnes,01-03-2026
Karnataka,Kolar,Kolar APMC,Vegetables,Tomato,407.8,Metric Tonnes,01-03-2026
Karnataka,Kolar,Mulabagilu APMC,Vegetables,Tomato,176.2,Metric Tonnes,01-03-2026
Karnataka,Mysore,Mysore (Bandipalya) APMC,Vegetables,Tomato,9.5,Metric Tonnes,01-03-2026
Karnataka,Shimoga,Shimoga APMC,Vegetables,Tomato,50,Metric Tonnes,01-03-2026
Kerala,Alappuzha,Kayamkulam APMC,Vegetables,Tomato,2,Metric Tonnes,01-03-2026
Kerala,Idukki,Kattappana APMC,Vegetables,Tomato,4,Metric Tonnes,01-03-2026
Kerala,Idukki,Vandiperiyar APMC,Vegetables,Tomato,0.04,Metric Tonnes,01-03-2026
Kerala,Kannur,Thalasserry APMC,Vegetables,Tomato,0.2,Metric Tonnes,01-03-2026
Kerala,Kollam,Anchal APMC,Vegetables,Tomato,0.03,Metric Tonnes,01-03-2026
