State,District,Market,Commodity Group,Commodity,Arrival Quantity,Arrival Unit,Arrival Date
Gujarat,Sabarkantha,APMCKHEDBRAHMA,Cereals,Wheat,1,Metric Tonnes,01-03-2026
Karnataka,Bellary,Hospet APMC,Cereals,Wheat,22,Metric Tonnes,01-03-2026
Karnataka,Bijapur,Bijapur APMC,Cereals,Wheat,7.4,Metric Tonnes,01-03-2026
Karnataka,Haveri,Haveri APMC,Cereals,Wheat,18.7,Metric Tonnes,01-03-2026
Karnataka,Shimoga,Shimoga APMC,Cereals,Wheat,16,Metric Tonnes,01-03-2026
Madhya Pradesh,Alirajpur,Jobat APMC,Cereals,Wheat,52.3,Metric Tonnes,01-03-2026
Madhya Pradesh,Ashoknagar,Ashoknagar APMC,Cereals,Wheat,30.94,Metric Tonnes,01-03-2026
Madhya Pradesh,Badwani,Anjad APMC,Cereals,Wheat,1.59,Metric Tonnes,01-03-2026
Madhya Pradesh,Badwani,Badwani APMC,Cereals,Wheat,12.04,Metric Tonnes,01-03-2026
Madhya Pradesh,Badwani,Sendhwa APMC,Cereals,Wheat,11.81,Metric Tonnes,01-03-2026
Madhya Pradesh,Bhind,Alampur APMC,Cereals,Wheat,7.2,Metric Tonnes,01-03-2026
Madhya Pradesh,Bhind,Lahar APMC,Cereals,Wheat,101,Metric Tonnes,01-03-2026
Madhya Pradesh,Bhind,Mehgaon APMC,Cereals,Wheat,20,Metric Tonnes,01-03-2026
Madhya Pradesh,Chhatarpur,Badamalhera APMC,Cereals,Wheat,39.7,Metric Tonnes,01-03-2026
Madhya Pradesh,Chhatarpur,Bijawar APMC,Cereals,Wheat,17.1,Metric Tonnes,01-03-2026
Madhya Pradesh,Chhatarpur,Chhatarpur APMC,Cereals,Wheat,7,Metric Tonnes,01-03-2026
Madhya Pradesh,Damoh,Damoh APMC,Cereals,Wheat,278.4,Metric Tonnes,01-03-2026
Madhya Pradesh,Damoh,Javera APMC,Cereals,Wheat,9.01,Metric Tonnes,01-03-2026
Madhya Pradesh,Datia,Datia APMC,Cereals,Wheat,5.22,Metric Tonnes,01-03-2026
Madhya Pradesh,Dewas,Dewas APMC,Cereals,Wheat,77.23,Metric Tonnes,01-03-2026
Madhya Pradesh,Dewas,Haatpipliya APMC,Cereals,Wheat,13.38,Metric Tonnes,01-03-2026
Madhya Pradesh,Dewas,Loharda APMC,Cereals,Wheat,35.69,Metric Tonnes,01-03-2026
Madhya Pradesh,Dewas,Sonkatch APMC,Cereals,Wheat,58.83,Metric Tonnes,01-03-2026
Madhya Pradesh,Dhar,Badnawar APMC,Cereals,Wheat,133.92,Metric Tonnes,01-03-2026
Madhya Pradesh,Dhar,Dhar APMC,Cereals,Wheat,18.3,Metric Tonnes,01-03-2026
Madhya Pradesh,Dhar,Gandhwani APMC,Cereals,Wheat,24.54,Metric Tonnes,01-03-2026
Madhya Pradesh,Dhar,Kukshi APMC,Cereals,Wheat,141.5,Metric Tonnes,01-03-2026
Madhya Pradesh,Dhar,Manawar APMC,Cereals,Wheat,39.82,Metric Tonnes,01-03-2026
Madhya Pradesh,Dhar,Rajgarh APMC,Cereals,Wheat,110.13,Metric Tonnes,01-03-2026
Madhya Pradesh,Guna,Raghogarh APMC,Cereals,Wheat,40.92,Metric Tonnes,01-03-2026
Madhya Pradesh,Gwalior,Lashkar APMC,Cereals,Wheat,23.28,Metric Tonnes,01-03-2026
Madhya Pradesh,Harda,Sirali APMC,Cereals,Wheat,14,Metric Tonnes,01-03-2026
Madhya Pradesh,Indore,Gautampura APMC,Cereals,Wheat,98.75,Metric Tonnes,01-03-2026
Madhya Pradesh,Indore,Sanwer APMC,Cereals,Wheat,44.91,Metric Tonnes,01-03-2026
Madhya Pradesh,Jhabua,Petlawad APMC,Cereals,Wheat,116.02,Metric Tonnes,01-03-2026
Madhya Pradesh,Jhabua,Thandla APMC,Cereals,Wheat,8.18,Metric Tonnes,01-03-2026
Madhya Pradesh,Khandwa,Khandwa APMC,Cereals,Wheat,197.33,Metric Tonnes,01-03-2026
Madhya Pradesh,Khandwa,Mundi APMC,Cereals,Wheat,210.44,Metric Tonnes,01-03-2026
Madhya Pradesh,Khandwa,Pandhana APMC,Cereals,Wheat,9.69,Metric Tonnes,01-03-2026
Madhya Pradesh,Khargone,Badwaha APMC,Cereals,Wheat,16.84,Metric Tonnes,01-03-2026
Madhya Pradesh,Khargone,Bhikangaon APMC,Cereals,Wheat,626.66,Metric Tonnes,01-03-2026
Madhya Pradesh,Khargone,Karhi APMC,Cereals,Wheat,32.15,Metric Tonnes,01-03-2026
Madhya Pradesh,Khargone,Kasrawad APMC,Cereals,Wheat,9.44,Metric Tonnes,01-03-2026
Madhya Pradesh,Khargone,Khargone APMC,Cereals,Wheat,156.22,Metric Tonnes,01-03-2026
Madhya Pradesh,Khargone,Segaon APMC,Cereals,Wheat,61.26,Metric Tonnes,01-03-2026
Madhya Pradesh,Mandsaur,Garoth APMC,Cereals,Wheat,44.5,Metric Tonnes,01-03-2026
Madhya Pradesh,Mandsaur,Suvasra APMC,Cereals,Wheat,50.12,Metric Tonnes,01-03-2026
