market,date,temperature,rainfall
Bangalore,2023-01-01,18.53,0.0
Bangalore,2023-01-02,18.57,0.0
Bangalore,2023-01-03,18.94,0.0
Bangalore,2023-01-04,19.22,0.0
Bangalore,2023-01-05,18.78,0.0
Bangalore,2023-01-06,18.89,0.0
Bangalore,2023-01-07,19.36,0.0
Bangalore,2023-01-08,19.3,0.0
Bangalore,2023-01-09,18.05,0.0
Bangalore,2023-01-10,16.62,0.0
Bangalore,2023-01-11,17.17,0.0
Bangalore,2023-01-12,17.92,0.0
Bangalore,2023-01-13,18.12,0.0
Bangalore,2023-01-14,17.89,0.0
Bangalore,2023-01-15,17.84,0.0
Bangalore,2023-01-16,18.39,0.0
Bangalore,2023-01-17,18.05,0.0
Bangalore,2023-01-18,18.29,0.0
Bangalore,2023-01-19,18.23,0.0
Bangalore,2023-01-20,18.16,0.0
Bangalore,2023-01-21,19.34,0.0
Bangalore,2023-01-22,18.87,0.0
Bangalore,2023-01-23,20.13,0.01
Bangalore,2023-01-24,20.98,0.18
Bangalore,2023-01-25,19.7,0.04
Bangalore,2023-01-26,19.3,0.0
Bangalore,2023-01-27,18.98,0.0
Bangalore,2023-01-28,18.54,0.0
Bangalore,2023-01-29,19.14,0.0
Bangalore,2023-01-30,20.89,0.0
Bangalore,2023-01-31,21.23,0.0
Bangalore,2023-02-01,21.21,0.0
Bangalore,2023-02-02,20.91,0.0
Bangalore,2023-02-03,21.8,0.02
Bangalore,2023-02-04,22.43,0.25
Bangalore,2023-02-05,22.26,0.0
Bangalore,2023-02-06,21.4,0.0
Bangalore,2023-02-07,21.2,0.0
Bangalore,2023-02-08,22.06,0.0
Bangalore,2023-02-09,21.74,0.0
Bangalore,2023-02-10,21.82,0.0
Bangalore,2023-02-11,21.94,0.0
Bangalore,2023-02-12,22.52,0.0
Bangalore,2023-02-13,21.99,0.0
Bangalore,2023-02-14,21.57,0.0
Bangalore,2023-02-15,21.49,0.0
Bangalore,2023-02-16,21.76,0.0
Bangalore,2023-02-17,21.42,0.0
Bangalore,2023-02-18,21.63,0.0
Bangalore,2023-02-19,22.06,0.0
Bangalore,2023-02-20,22.33,0.0
Bangalore,2023-02-21,22.52,0.0
Bangalore,2023-02-22,22.47,0.0
Bangalore,2023-02-23,21.61,0.0
Bangalore,2023-02-24,21.69,0.0
Bangalore,2023-02-25,22.58,0.0
Bangalore,2023-02-26,22.51,0.0
Bangalore,2023-02-27,21.53,0.0
Bangalore,2023-02-28,22.07,0.0
Bangalore,2023-03-01,23.85,0.0
Bangalore,2023-03-02,22.13,0.0
Bangalore,2023-03-03,22.1,0.0
Bangalore,2023-03-04,22.63,0.0
Bangalore,2023-03-05,22.93,0.0
Bangalore,2023-03-06,23.01,0.0
Bangalore,2023-03-07,23.21,0.0
Bangalore,2023-03-08,23.36,0.0
Bangalore,2023-03-09,22.66,0.0
Bangalore,2023-03-10,23.39,0.0
Bangalore,2023-03-11,24.05,0.0
Bangalore,2023-03-12,24.13,0.0
Bangalore,2023-03-13,25.23,0.0
Bangalore,2023-03-14,25.92,0.0
Bangalore,2023-03-15,26.64,0.0
Bangalore,2023-03-16,26.32,0.43
Bangalore,2023-03-17,24.0,17.9
Bangalore,2023-03-18,24.65,6.89
Bangalore,2023-03-19,24.85,7.89
Bangalore,2023-03-20,24.89,1.48
Bangalore,2023-03-21,24.04,0.02
Bangalore,2023-03-22,24.77,0.0
Bangalore,2023-03-23,26.83,0.2
Bangalore,2023-03-24,26.81,0.93
Bangalore,2023-03-25,25.7,1.49
Bangalore,2023-03-26,25.73,0.89
Bangalore,2023-03-27,26.6,0.43
Bangalore,2023-03-28,27.5,0.05
Bangalore,2023-03-29,27.77,0.55
Bangalore,2023-03-30,27.29,0.76
Bangalore,2023-03-31,27.59,0.0
Bangalore,2023-04-01,27.12,0.21
Bangalore,2023-04-02,27.67,0.53
Bangalore,2023-04-03,28.34,0.2
Bangalore,2023-04-04,26.26,7.53
Bangalore,2023-04-05,27.05,0.68
Bangalore,2023-04-06,27.19,0.08
Bangalore,2023-04-07,26.87,0.0
Bangalore,2023-04-08,26.54,0.0
Bangalore,2023-04-09,26.71,0.0
Bangalore,2023-04-10,27.36,0.0
Bangalore,2023-04-11,27.58,0.0
Bangalore,2023-04-12,27.02,0.0
Bangalore,2023-04-13,28.88,0.0
Bangalore,2023-04-14,28.34,0.0
Bangalore,2023-04-15,28.42,0.0
Bangalore,2023-04-16,27.88,0.0
Bangalore,2023-04-17,28.3,0.0
Bangalore,2023-04-18,28.72,0.0
Bangalore,2023-04-19,29.02,0.0
Bangalore,2023-04-20,30.24,0.0
Bangalore,2023-04-21,30.16,0.36
Bangalore,2023-04-22,29.62,2.74
Bangalore,2023-04-23,28.42,2.06
Bangalore,2023-04-24,28.21,0.35
Bangalore,2023-04-25,27.88,0.43
Bangalore,2023-04-26,28.07,0.01
Bangalore,2023-04-27,28.51,0.0
Bangalore,2023-04-28,29.09,0.01
Bangalore,2023-04-29,27.96,12.69
Bangalore,2023-04-30,26.51,1.95
Bangalore,2023-05-01,24.41,17.21
Bangalore,2023-05-02,25.42,2.14
Bangalore,2023-05-03,25.56,1.87
Bangalore,2023-05-04,24.75,8.44
Bangalore,2023-05-05,23.04,22.85
Bangalore,2023-05-06,23.83,3.83
Bangalore,2023-05-07,24.48,15.73
Bangalore,2023-05-08,24.6,5.71
Bangalore,2023-05-09,26.62,0.48
Bangalore,2023-05-10,27.29,0.04
Bangalore,2023-05-11,27.79,0.01
